k,N_schedules,R_mean_eps0.10,R_mean_eps0.15,R_all_curves_eps0.10,R_all_curves_eps0.15,median_temperature_coverage_eps0.10,median_temperature_coverage_eps0.15
5,680,0.2397058824,0.6147058824,0.0,0.0,0.4285714286,0.6428571429
6,2380,0.4970588235,0.8117647059,0.0,0.0046218487,0.6153846154,0.7692307692
7,6188,0.6675824176,0.9101486749,0.0,0.0180995475,0.6666666667,0.8333333333
8,12376,0.786199095,0.9522462831,0.0022624434,0.0429056238,0.7272727273,0.9090909091
9,19448,0.8542780749,0.9740847388,0.0134718223,0.0799568079,0.8,0.9
10,24310,0.8986836693,0.9848210613,0.0376799671,0.1292472234,0.7777777778,0.8888888889
11,24310,0.9162484574,0.9917729329,0.0767585356,0.1903743316,0.875,0.875
12,19448,0.924568079,0.9952180173,0.131684492,0.2628033731,0.8571428571,0.8571428571
13,12376,0.948125404,0.9945054945,0.2028926955,0.3459114415,0.8333333333,1.0
14,6188,0.9361667744,0.9975759535,0.2907239819,0.4389140271,0.8,1.0
15,2380,0.9222689076,0.9932773109,0.3957983193,0.5407563025,0.75,1.0
16,680,0.8044117647,0.9808823529,0.5191176471,0.65,0.6666666667,1.0
17,136,0.7647058824,0.9705882353,0.6617647059,0.7647058824,0.5,1.0
18,17,0.8235294118,0.8823529412,0.8235294118,0.8823529412,1.0,1.0
