T_K,Linear_MAE,PCHIP_MAE
60,0.045450677704573006,0.03358598281865858
80,0.017052074772995845,0.021514841697086024
100,0.024687054984489403,0.014368000431025896
120,0.044864825996188,0.02832121036510713
140,0.03373170295167579,0.027826617582368814
160,0.051458992003005515,0.030753496234360994
180,0.20079147058269253,0.20515254701261482
200,0.23710494249407793,0.2594419730957556
220,0.1095468750207869,0.12671849339505126
240,0.02590105081054521,0.03843992651952171
260,0.031086572483155536,0.032055737895563825
280,0.04294633260549051,0.05476848563035719
300,0.05345715088516571,0.044959223195124146
320,0.017753819474212482,0.007854823225577777
340,0.02080620383300386,0.0027086157479970425
360,0.032487788951225574,0.01805365312237258
380,0.006445015770273532,0.0181918352462327
