method,k,measured_K,omitted_K,mean_curve_MAE_decade,worst_curve_MAE_decade,coverage_0.05,coverage_0.10,coverage_0.15
Linear,3,224;232;273,241;251;261,0.03583241149104518,0.04935592939113963,1.0,1.0,1.0
PCHIP,3,224;232;273,241;251;261,0.05175095437873448,0.06179406177145088,0.3333333333333333,1.0,1.0
Linear,3,224;241;273,232;251;261,0.021555090124292783,0.03752835272564732,1.0,1.0,1.0
PCHIP,3,224;241;273,232;251;261,0.021761254347251496,0.04142756617972645,1.0,1.0,1.0
Linear,3,224;251;273,232;241;261,0.02319460266195628,0.03871985198115122,1.0,1.0,1.0
PCHIP,3,224;251;273,232;241;261,0.01917813709656808,0.03503289152726776,1.0,1.0,1.0
Linear,3,224;261;273,232;241;251,0.03479716684680307,0.03993691590303792,1.0,1.0,1.0
PCHIP,3,224;261;273,232;241;251,0.024176390030158996,0.03334673296011517,1.0,1.0,1.0
Linear,4,224;232;241;273,251;261,0.013568458823615518,0.014736920846295654,1.0,1.0,1.0
PCHIP,4,224;232;241;273,251;261,0.027093177575186127,0.0310131136074926,1.0,1.0,1.0
Linear,4,224;232;251;273,241;261,0.019688674153453562,0.03299511016059419,1.0,1.0,1.0
PCHIP,4,224;232;251;273,241;261,0.023370324755317924,0.034505666537088316,1.0,1.0,1.0
Linear,4,224;232;261;273,241;251,0.034853114367728526,0.04432657471521455,1.0,1.0,1.0
PCHIP,4,224;232;261;273,241;251,0.03660878155912649,0.04992541343694422,1.0,1.0,1.0
Linear,4,224;241;251;273,232;261,0.021955295435980127,0.03752835272564732,1.0,1.0,1.0
PCHIP,4,224;241;251;273,232;261,0.024885176594719505,0.043247020422085426,1.0,1.0,1.0
Linear,4,224;241;261;273,232;251,0.023717600180584338,0.03752835272564732,1.0,1.0,1.0
PCHIP,4,224;241;261;273,232;251,0.0246675893202757,0.042545673617727285,1.0,1.0,1.0
Linear,4,224;251;261;273,232;241,0.031600784919777955,0.03871985198115122,1.0,1.0,1.0
PCHIP,4,224;251;261;273,232;241,0.025160454537174748,0.036632951580473305,1.0,1.0,1.0
Linear,5,224;232;241;251;273,261,0.006382238146312935,0.006382238146312935,1.0,1.0,1.0
PCHIP,5,224;232;241;251;273,261,0.006523332767353581,0.006523332767353581,1.0,1.0,1.0
Linear,5,224;232;241;261;273,251,0.00990684763552135,0.00990684763552135,1.0,1.0,1.0
PCHIP,5,224;232;241;261;273,251,0.00696609915411352,0.00696609915411352,1.0,1.0,1.0
Linear,5,224;232;251;261;273,241,0.03299511016059419,0.03299511016059419,1.0,1.0,1.0
PCHIP,5,224;232;251;261;273,241,0.033777322672599405,0.033777322672599405,1.0,1.0,1.0
Linear,5,224;241;251;261;273,232,0.03752835272564732,0.03752835272564732,1.0,1.0,1.0
PCHIP,5,224;241;251;261;273,232,0.043247020422085426,0.043247020422085426,1.0,1.0,1.0
