method,k,threshold_decade,n_schedules,Rmean,Rall,median_coverage,median_mean_MAE
Linear,3,0.05,4,1.0,1.0,1.0,0.028995884754379676
Linear,3,0.1,4,1.0,1.0,1.0,0.028995884754379676
Linear,3,0.15,4,1.0,1.0,1.0,0.028995884754379676
Linear,4,0.05,6,1.0,1.0,1.0,0.022836447808282232
Linear,4,0.1,6,1.0,1.0,1.0,0.022836447808282232
Linear,4,0.15,6,1.0,1.0,1.0,0.022836447808282232
Linear,5,0.05,4,1.0,1.0,1.0,0.02145097889805777
Linear,5,0.1,4,1.0,1.0,1.0,0.02145097889805777
Linear,5,0.15,4,1.0,1.0,1.0,0.02145097889805777
PCHIP,3,0.05,4,0.75,0.75,1.0,0.022968822188705246
PCHIP,3,0.1,4,1.0,1.0,1.0,0.022968822188705246
PCHIP,3,0.15,4,1.0,1.0,1.0,0.022968822188705246
PCHIP,4,0.05,6,1.0,1.0,1.0,0.025022815565947126
PCHIP,4,0.1,6,1.0,1.0,1.0,0.025022815565947126
PCHIP,4,0.15,6,1.0,1.0,1.0,0.025022815565947126
PCHIP,5,0.05,4,1.0,1.0,1.0,0.02037171091335646
PCHIP,5,0.1,4,1.0,1.0,1.0,0.02037171091335646
PCHIP,5,0.15,4,1.0,1.0,1.0,0.02037171091335646
